DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Mission: Impossible', 'PS', 'Action', 'Atari']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Dishonored', 'PC', 'Action', 'Bethesda Softworks']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Warhammer: The End Times - Vermintide', 'PC', 'Action', 'Games Workshop']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Soma', 'PC', 'Action', 'Frictional Games']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['The Escapists 2', 'PC', 'Action', 'Team17 Software']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Die Hard Trilogy 2: Viva Las Vegas', 'PS', 'Action', 'Fox Interactive']
DEBUG : 17-02-2021 18:11:58.672 -  [<module>]- ['Styx: Master of Shadows', 'PC', 'Action', 'Focus Home Interactive']
DEBUG : 17-02-2021 18:11:58.673 -  [<module>]- ['Gauntlet Legends', 'PS', 'Action', 'Midway Games']
DEBUG : 17-02-2021 18:11:58.673 -  [<module>]- ['Victor Vran ARPG', 'PC', 'Action', 'EuroVideo Medien']
DEBUG : 17-02-2021 18:11:58.673 -  [<module>]- ['Apocalypse', 'PS', 'Action', 'Activision']
DEBUG : 17-02-2021 18:11:58.673 -  [<module>]- ['Mobile Suit Gundam', 'PS', 'Action', 'Bandai']
DEBUG : 17-02-2021 18:11:58.674 -  [<module>]- ['Army Men World War: Final Front', 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.674 -  [<module>]- ['ICEY', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.674 -  [<module>]- ['Bayonetta', 'PC', 'Action', 'Sega']
DEBUG : 17-02-2021 18:11:58.674 -  [<module>]- ['Rascal', 'PS', 'Action', 'Sony Computer Entertainment']
DEBUG : 17-02-2021 18:11:58.674 -  [<module>]- ['Construction Simulator 2015', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Hell Yeah! Wrath of the Dead Rabbit', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Tomb Raider: The Last Revelation', 'PC', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Grudge Warriors', 'PS', 'Action', 'Take-Two Interactive']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Freebie', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Outlast II', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['RWBY: Grimm Eclipse', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Saints Row: The Third', 'PC', 'Action', 'THQ']
DEBUG : 17-02-2021 18:11:58.675 -  [<module>]- ['Ninja: Shadow of Darkness', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Mobile Suit Gundam version 2.0', 'PS', 'Action', 'Bandai']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Genital Jousting', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Middle-Earth: Shadow of Mordor', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Party Hard', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Dynasty Warriors 8: Xtreme Legends', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Mobile Suit Z-Gundam', 'PS', 'Action', 'Bandai']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Blasto', 'PS', 'Action', 'Sony Computer Entertainment']
DEBUG : 17-02-2021 18:11:58.676 -  [<module>]- ['Timberman', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['Titan Souls', 'PC', 'Action', 'Devolver Digital']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ["Saban's Power Rangers: Lightspeed Rescue", 'PS', 'Action', 'THQ']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ["King Arthur's Gold", 'PC', 'Action', 'Transhuman Design']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['Nioh: Complete Edition', 'PC', 'Action', 'Koei Tecmo']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['One Piece: Pirate Warriors 3', 'PC', 'Action', 'Namco Bandai Games']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['LEGO Jurassic World', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['Tiny Tank', 'PS', 'Action', 'Sony Computer Entertainment']
DEBUG : 17-02-2021 18:11:58.677 -  [<module>]- ['Fade to Black', 'PS', 'Action', 'Electronic Arts']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['Deathtrap Dungeon', 'PS', 'Action', 'Eidos Interactive']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['Lego Batman 3: Beyond Gotham', 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['OverBlood', 'PS', 'Action', 'Electronic Arts']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['Power Rangers: Time Force', 'PS', 'Action', 'THQ']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['KISS Pinball', 'PS', 'Action', 'Take-Two Interactive']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['Half Minute Hero: Super Mega Neo Climax Ultimate Boy', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.678 -  [<module>]- ['Army Men World War: Land, Sea, Air', 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Army Men: Air Attack 2', 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Devil May Cry 4', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ["There's Poop In My Soup", 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Montaro', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Aragami', 'PC', 'Action', 'Lince Works']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Turbo Pug 3D', 'PC', 'Action', 'Unknown']
